ID	Top_Discriminant	Discriminant	Category Lv3	Date	Amount	Num Trans
0	Essentials	Council & Stratta	h. Council Tax	7/1/2010	265.6	1
1	Essentials	Council & Stratta	h. Council Tax	10/1/2010	265.6	1
2	Essentials	Council & Stratta	h. Council Tax	1/1/2011	265.6	1
3	Essentials	Council & Stratta	h. Council Tax	4/1/2011	265.6	1
4	Essentials	Council & Stratta	h. Council Tax	7/1/2011	287.43	1
5	Essentials	Council & Stratta	h. Council Tax	10/1/2011	287.43	1
6	Essentials	Council & Stratta	h. Council Tax	1/1/2012	287.43	1
7	Essentials	Council & Stratta	h. Council Tax	4/1/2012	287.04	1
8	Essentials	Council & Stratta	h. Council Tax	7/1/2012	303.01	1
9	Essentials	Council & Stratta	h. Council Tax	10/1/2012	302.9	1
10	Essentials	Council & Stratta	h. Council Tax	1/1/2013	302.9	1
11	Essentials	Council & Stratta	h. Council Tax	4/1/2013	302.9	1
12	Essentials	Council & Stratta	h. Council Tax	7/1/2013	317.07	1
13	Essentials	Council & Stratta	h. Council Tax	10/1/2013	316.7	1
14	Essentials	Council & Stratta	h. Council Tax	1/1/2014	316.7	1
15	Essentials	Council & Stratta	h. Council Tax	4/1/2014	316.7	1
16	Essentials	Council & Stratta	h. Council Tax	7/1/2014	328.48	1
17	Essentials	Council & Stratta	h. Council Tax	10/1/2014	328.3	1
18	Essentials	Council & Stratta	h. Council Tax	1/1/2015	328.3	1
19	Essentials	Council & Stratta	h. Strata Fees	1/1/2010	761.05	1
20	Essentials	Council & Stratta	h. Strata Fees	4/1/2010	761.05	1
21	Essentials	Council & Stratta	h. Strata Fees	7/1/2010	761.05	1
22	Essentials	Council & Stratta	h. Strata Fees	10/1/2010	761.05	1
23	Essentials	Council & Stratta	h. Strata Fees	1/1/2011	807.1	2
24	Essentials	Council & Stratta	h. Strata Fees	4/1/2011	783.1	1
25	Essentials	Council & Stratta	h. Strata Fees	7/1/2011	781.64	1
26	Essentials	Council & Stratta	h. Strata Fees	10/1/2011	1590.04	2
27	Essentials	Council & Stratta	h. Strata Fees	1/1/2012	26.76	1
28	Essentials	Council & Stratta	h. Strata Fees	4/1/2012	808.4	1
29	Essentials	Council & Stratta	h. Strata Fees	7/1/2012	808.4	1
30	Essentials	Council & Stratta	h. Strata Fees	10/1/2012	950.95	1
31	Essentials	Council & Stratta	h. Strata Fees	1/1/2013	950.95	1
32	Essentials	Council & Stratta	h. Strata Fees	4/1/2013	950.95	1
33	Essentials	Council & Stratta	h. Strata Fees	7/1/2013	950.95	1
34	Essentials	Council & Stratta	h. Strata Fees	10/1/2013	950.95	1
35	Essentials	Council & Stratta	h. Strata Fees	1/1/2014	1152.85	1
37	Essentials	Council & Stratta	h. Strata Fees	7/1/2014	2194.82	2
38	Essentials	Council & Stratta	h. Strata Fees	10/1/2014	1163.8	1
39	Essentials	Everything Else	g. Internet Provider	1/1/2010	193.7	3
40	Essentials	Everything Else	g. Internet Provider	4/1/2010	179.05	3
41	Essentials	Everything Else	g. Internet Provider	7/1/2010	184.37	3
42	Essentials	Everything Else	g. Internet Provider	10/1/2010	179.85	3
43	Essentials	Everything Else	g. Internet Provider	1/1/2011	182.05	3
44	Essentials	Everything Else	g. Internet Provider	4/1/2011	182.03	3
45	Essentials	Everything Else	g. Internet Provider	7/1/2011	179.85	3
46	Essentials	Everything Else	g. Internet Provider	10/1/2011	179.85	3
47	Essentials	Everything Else	g. Internet Provider	1/1/2012	179.85	3
48	Essentials	Everything Else	g. Internet Provider	4/1/2012	216.35	4
49	Essentials	Everything Else	g. Internet Provider	7/1/2012	360.73	4
50	Essentials	Everything Else	g. Internet Provider	10/1/2012	179.86	3
51	Essentials	Everything Else	g. Internet Provider	1/1/2013	183.5	3
52	Essentials	Everything Else	g. Internet Provider	4/1/2013	360.08	4
53	Essentials	Everything Else	g. Internet Provider	7/1/2013	180.15	3
54	Essentials	Everything Else	g. Internet Provider	10/1/2013	180.15	3
55	Essentials	Everything Else	g. Internet Provider	1/1/2014	232.14	3
56	Essentials	Everything Else	g. Internet Provider	4/1/2014	355.6	3
57	Essentials	Everything Else	g. Internet Provider	7/1/2014	179.8	2
58	Essentials	Everything Else	g. Internet Provider	10/1/2014	355.72	4
59	Essentials	Everything Else	g. Internet Provider	1/1/2015	288.31	3
60	Essentials	Everything Else	g. Internet Provider	4/1/2015	439.71	4
61	Essentials	Everything Else	g. Mexico Allowance	1/1/2010	265.07	1
62	Essentials	Everything Else	g. Mexico Allowance	4/1/2010	1225.62	3
63	Essentials	Everything Else	g. Mexico Allowance	7/1/2010	1169.84	3
64	Essentials	Everything Else	g. Mexico Allowance	10/1/2010	1227.47	3
65	Essentials	Everything Else	g. Mexico Allowance	1/1/2011	1224.05	3
66	Essentials	Everything Else	g. Mexico Allowance	4/1/2011	1259.72	3
67	Essentials	Everything Else	g. Mexico Allowance	7/1/2011	1201.49	3
68	Essentials	Everything Else	g. Mexico Allowance	10/1/2011	1157.06	3
69	Essentials	Everything Else	g. Mexico Allowance	1/1/2012	1459.63	2
70	Essentials	Everything Else	g. Mexico Allowance	4/1/2012	1472.11	3
71	Essentials	Everything Else	g. Mexico Allowance	7/1/2012	2012.09	3
72	Essentials	Everything Else	g. Mexico Allowance	10/1/2012	1039.78	2
73	Essentials	Everything Else	g. Mexico Allowance	1/1/2013	2180.26	5
74	Essentials	Everything Else	g. Mexico Allowance	4/1/2013	1476.18	4
75	Essentials	Everything Else	g. Mexico Allowance	7/1/2013	1557.56	4
76	Essentials	Everything Else	g. Mexico Allowance	10/1/2013	1545.25	3
77	Essentials	Everything Else	g. Mexico Allowance	1/1/2014	1736.15	3
78	Essentials	Everything Else	g. Mexico Allowance	4/1/2014	1648.82	3
79	Essentials	Everything Else	g. Mexico Allowance	7/1/2014	1747.02	3
80	Essentials	Everything Else	g. Mexico Allowance	10/1/2014	1736.55	4
81	Essentials	Everything Else	g. Mexico Allowance	1/1/2015	1257.69	3
82	Essentials	Everything Else	g. Mexico Allowance	4/1/2015	1125.53	2
83	Essentials	Everything Else	g. Telephone Bills	1/1/2010	370.01	8
84	Essentials	Everything Else	g. Telephone Bills	4/1/2010	1025.93	8
85	Essentials	Everything Else	g. Telephone Bills	7/1/2010	1049.06	8
86	Essentials	Everything Else	g. Telephone Bills	10/1/2010	750.01	8
87	Essentials	Everything Else	g. Telephone Bills	1/1/2011	305.25	6
88	Essentials	Everything Else	g. Telephone Bills	4/1/2011	346.78	6
89	Essentials	Everything Else	g. Telephone Bills	7/1/2011	549.23	8
90	Essentials	Everything Else	g. Telephone Bills	10/1/2011	450.26	7
91	Essentials	Everything Else	g. Telephone Bills	1/1/2012	463.1	7
92	Essentials	Everything Else	g. Telephone Bills	4/1/2012	448.43	6
93	Essentials	Everything Else	g. Telephone Bills	7/1/2012	498.85	12
94	Essentials	Everything Else	g. Telephone Bills	10/1/2012	570.42	12
95	Essentials	Everything Else	g. Telephone Bills	1/1/2013	443.27	7
96	Essentials	Everything Else	g. Telephone Bills	4/1/2013	502.45	8
97	Essentials	Everything Else	g. Telephone Bills	7/1/2013	493.72	9
98	Essentials	Everything Else	g. Telephone Bills	10/1/2013	524.68	7
99	Essentials	Everything Else	g. Telephone Bills	1/1/2014	726.92	9
100	Essentials	Everything Else	g. Telephone Bills	4/1/2014	874.49	9
101	Essentials	Everything Else	g. Telephone Bills	7/1/2014	830.21	11
102	Essentials	Everything Else	g. Telephone Bills	10/1/2014	583.83	8
103	Essentials	Everything Else	g. Telephone Bills	1/1/2015	706.75	11
104	Essentials	Everything Else	g. Telephone Bills	4/1/2015	1127.36	7
105	Essentials	Everything Else	g. Transport - Rail	7/1/2010	148	1
107	Essentials	Everything Else	g. Transport - Rail	1/1/2011	444	3
108	Essentials	Everything Else	g. Transport - Rail	4/1/2011	296	2
109	Essentials	Everything Else	g. Transport - Rail	7/1/2011	16.4	1
110	Essentials	Everything Else	g. Transport - Rail	10/1/2011	74	2
112	Essentials	Everything Else	g. Transport - Rail	4/1/2012	322.6	3
113	Essentials	Everything Else	g. Transport - Rail	7/1/2012	284	2
114	Essentials	Everything Else	g. Transport - Rail	10/1/2012	568	2
116	Essentials	Everything Else	g. Transport - Rail	4/1/2013	292	1
118	Essentials	Everything Else	g. Transport - Rail	10/1/2013	19.4	3
119	Essentials	Everything Else	g. Transport - Rail	1/1/2014	336.4	7
120	Essentials	Everything Else	g. Transport - Rail	4/1/2014	510	9
121	Essentials	Everything Else	g. Transport - Rail	7/1/2014	600	10
122	Essentials	Everything Else	g. Transport - Rail	10/1/2014	675.6	13
123	Essentials	Everything Else	g. Transport - Rail	1/1/2015	937.8	21
124	Essentials	Everything Else	g. Transport - Rail	4/1/2015	350	6
125	Essentials	Everything Else	i. Medical Consultations	1/1/2010	160	1
126	Essentials	Everything Else	i. Medical Consultations	4/1/2010	2512.05	12
127	Essentials	Everything Else	i. Medical Consultations	7/1/2010	2525.4	9
128	Essentials	Everything Else	i. Medical Consultations	10/1/2010	2845	15
129	Essentials	Everything Else	i. Medical Consultations	1/1/2011	60	1
130	Essentials	Everything Else	i. Medical Consultations	4/1/2011	235	4
131	Essentials	Everything Else	i. Medical Consultations	7/1/2011	85	2
132	Essentials	Everything Else	i. Medical Consultations	10/1/2011	210	5
133	Essentials	Everything Else	i. Medical Consultations	1/1/2012	394.4	7
134	Essentials	Everything Else	i. Medical Consultations	4/1/2012	374.46	7
135	Essentials	Everything Else	i. Medical Consultations	7/1/2012	852	9
136	Essentials	Everything Else	i. Medical Consultations	10/1/2012	90	2
137	Essentials	Everything Else	i. Medical Consultations	1/1/2013	90	3
138	Essentials	Everything Else	i. Medical Consultations	4/1/2013	565	5
139	Essentials	Everything Else	i. Medical Consultations	7/1/2013	1348.6	11
140	Essentials	Everything Else	i. Medical Consultations	10/1/2013	1784.6	13
