Set_ID	Fault_ID	RC_Fault_ID	Classification	Fault_Reported_Date	WO_Num	WO_Car	Num_Faults
A49	55509	242542	Digital Voice Announcements	15/01/2015	1088552	D6449	1
A48	55508	242541	Batteries	15/01/2015	1088551	D6348	1
A8	55507	242540	Windows	15/01/2015	1088550	D6408	1
A36	55506	242539	Fog Lamp	15/01/2015	1088549	D6436	1
A66	55505	242518	Crew Bodyside Door	15/01/2015	1088548	D6366	1
A41	55503	242513	External	15/01/2015	1088544	T6641	1
A41	55502	242512	External	15/01/2015	1088538	T6541	1
A27	55501	242628	Body	15/01/2015	1088537	N5427	1
A56	55500	242511	Intermediate End Door	15/01/2015	1088536	N5656	1
A61	55499	242617	External CCTV Camera	15/01/2015	1088522	D6361	1
A33	55496	242614	Passenger Bodyside Door	15/01/2015	1088520	N5333	1
A78	55495	242613	Indicators- Control & Monitoring Systems	15/01/2015	1088519	D6378	1
A51	55494	242612	Air Conditioner Crew	15/01/2015	1088518	D6351	1
A51	55493	242611	Air Conditioner Crew	15/01/2015	1088516	D6451	1
A51	55492	242610	Internal CCTV Camera	15/01/2015	1088515	N5651	1
A33	55491	242604	Passenger Bodyside Door	15/01/2015	1088514	D6333	1
A36	55489	242601	Drivers Interface	15/01/2015	1088525	D6436	1
A26	55488	242600	Wiper Blade	15/01/2015	1088502	D6426	1
A26	55487	242599	Wiper Blade	15/01/2015	1088448	D6326	1
A16	55486	242597	Intermediate End Door	15/01/2015	1088524	D6416	1
A78	55483	242589	Metronet Train Radio	15/01/2015	1088452	D6478	1
A16	55481	242586	Data Logger	15/01/2015	1088446	D6316	1
A75	55475	242572	Digital Voice Announcements	15/01/2015	1088427	D6375	1
A44	55472	242567	Body	15/01/2015	1088310	N5344	1
A68	55470	242561	Communications	15/01/2015	1088408	D6368	1
A70	55469	242557	Traction Systems	15/01/2015	1088365	N5470	1
A1	55464	242566	Door Systems	15/01/2015	1088308	D6401	1
A75	55462	242565	Destination Indicator	15/01/2015	1088299	N5575	1
A6	55459	242581	Climate Control	15/01/2015	1088296	N5306	1
A6	55459	242581	Climate Control	15/01/2015	1088296	N5306	1
A66	55457	242563	External Fittings	15/01/2015	1088294	D6366	1
A44	55455	242587	Signage & Paintwork	15/01/2015	1088182	N5444	1
A44	55453	242588	Signage & Paintwork	15/01/2015	1088180	D6444	1
A44	55452	242591	Signage & Paintwork	15/01/2015	1088179	T6544	1
A44	55451	242592	Signage & Paintwork	15/01/2015	1088178	T6544	1
A44	55450	242579	Signage & Paintwork	15/01/2015	1088177	N5544	1
A44	55448	242593	Signage & Paintwork	15/01/2015	1088175	D6344	1
A44	55447	242594	Signage & Paintwork	15/01/2015	1088174	D6344	1
A61	55446	242510	Climate Control	14/01/2015	1088173	N5661	1
A61	55446	242510	Climate Control	14/01/2015	1088173	N5661	1
A61	55446	242510	Climate Control	14/01/2015	1088173	N5661	1
A80	55442	242496	Indicators	14/01/2015	1088148	D6380	1
A18	55436	242488	Train Management System / eTIS / TOS	14/01/2015	1088097	D6318	1
